scraped_at,url,review_date,author,rating,title,content
2026-08-23T05:24:46.099Z,https://www.vitaminstore.nl/product/vitaminstore-vitamine-d3-vloeibaar-25-mcg-1000-ie-per-1-druppel-druppels-257528,28 april 2026,Anoniem,5,Goed,Goed spul
2026-08-23T05:24:46.099Z,https://www.vitaminstore.nl/product/vitaminstore-vitamine-d3-vloeibaar-25-mcg-1000-ie-per-1-druppel-druppels-257528,01 april 2026,Eline,5,Handig zelf te doseren,Handig zelf te doseren.
2026-08-23T05:24:48.698Z,https://www.vitaminstore.nl/product/vitaminstore-vitamine-d3-k2-druppels-1306535,30 juli 2026,Stella,5,Erg tevreden,Werkt prima
2026-08-23T05:24:48.698Z,https://www.vitaminstore.nl/product/vitaminstore-vitamine-d3-k2-druppels-1306535,20 juli 2026,Anoniem,5,Weerstand,Betere {***} en betere {***}
2026-08-23T05:24:48.698Z,https://www.vitaminstore.nl/product/vitaminstore-vitamine-d3-k2-druppels-1306535,07 juli 2026,Anoniem,5,Handig doseersysteem,"Krachtig en dus minder druppels nodig, handige pipet en goed vloeibaar"
2026-08-23T05:24:48.698Z,https://www.vitaminstore.nl/product/vitaminstore-vitamine-d3-k2-druppels-1306535,06 april 2026,Monique,5,Aanrader,"In verband met opnameprobleem met mijn darmen is  mij dit geadviseerd na een tekort aan D. Verder heb ik nog meer gezondheidsproblemen en ben ik 60+ (vrouw, vandaar de combi van k2 en d3). Ik duim dat het gaat helpen maar ik heb er vertrouwen in omdat het mogelijk beter wordt opgenomen in het lichaam. Gemakkelijk in te nemen op een vast moment. Ik druppel het op warm eten. Het is gemakkelijk in gebruik."
2026-08-23T05:24:48.698Z,https://www.vitaminstore.nl/product/vitaminstore-vitamine-d3-k2-druppels-1306535,27 februari 2026,Brenda,4,Geweldige vitamine D en K,"Smaakt een beetje vreemd, maar werkt geweldig"
2026-08-23T05:24:51.344Z,https://www.vitaminstore.nl/product/vitakruid-vitamine-d3-75-mcg-3000-ie-vegicaps-1306675,23 oktober 2024,Chris,5,Super,Top
2026-08-23T05:24:53.979Z,https://www.vitaminstore.nl/product/viridian-vitamin-d3-vegan-2000-iu-50-ug-vegicaps-250379,30 november 2025,Jennifer,5,Goede prijs/kwaliteit verhouding,Tevreden mee. Gebruik dit al langere tijd.
2026-08-23T05:24:53.980Z,https://www.vitaminstore.nl/product/viridian-vitamin-d3-vegan-2000-iu-50-ug-vegicaps-250379,01 juli 2025,Jennifer,5,Tevreden,"Tevreden mee, gebruik het al een tijdje."
2026-08-23T05:24:53.980Z,https://www.vitaminstore.nl/product/viridian-vitamin-d3-vegan-2000-iu-50-ug-vegicaps-250379,16 januari 2025,Anoniem,5,Viridian,Top merk
2026-08-23T05:24:53.980Z,https://www.vitaminstore.nl/product/viridian-vitamin-d3-vegan-2000-iu-50-ug-vegicaps-250379,12 januari 2025,Claudia,5,Perfect,"Als vrouw van eind vijftig weet en voel ik dat m’n lichaam geen 20 meer is. Hoeft ook niet. Voor de zekerheid slik ik de D3 van Viridian omdat ik het merk vertrouw. Geen onnodige opvul zooi erin. Bestel deze altijd bij de Vitaminstore omdat ze scherpe prijzen hebben en bizar snel verzenden. Oh ja, glazen potjes.. vind ik ook belangrijk. Dus verzenden ze niet alleen snel maar verpakken het ook nog heel goed. Nog nooit een gebroken potje ontvangen!
PS mijn man heeft van een arts gehoord dat in de wintermaanden een D3 supplement echt wel belangrijk is en nu moet ik de pot delen."
2026-08-23T05:24:53.980Z,https://www.vitaminstore.nl/product/viridian-vitamin-d3-vegan-2000-iu-50-ug-vegicaps-250379,11 december 2024,Paula,5,Good product,My vitamin levels are better now. Great customer service.
2026-08-23T05:24:59.197Z,https://www.vitaminstore.nl/product/vitaminstore-vegan-d3-25-mcg-vegan-vitamine-d-1000-ie-vegicaps-1304516,27 januari 2026,Iris,5,Too,Heel fijn
2026-08-23T05:24:59.197Z,https://www.vitaminstore.nl/product/vitaminstore-vegan-d3-25-mcg-vegan-vitamine-d-1000-ie-vegicaps-1304516,13 februari 2025,Marleen,5,Super.,Goed als ondersteuning
2026-08-23T05:24:59.197Z,https://www.vitaminstore.nl/product/vitaminstore-vegan-d3-25-mcg-vegan-vitamine-d-1000-ie-vegicaps-1304516,24 oktober 2024,Anoniem,5,Heel fijn,Helpt met energie
